ori,agency_name,state,Award Name,Award Number,City,County,State,Title,Description,fsaEvaluation,fsaCoordination,fsaDeliverables,fsaProjectTitle,Program Description
AL0430100,Auburn Police Department,AL,"AUBURN, CITY OF",2019-DJ-BX-0177,AUBURN,,AL,BJA FY 19 Edward Byrne Memorial Justice Assistance Grant (JAG) Program - Local Solicitation,"The Edward Byrne Memorial Justice Assistance Grant (JAG) Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation) and 8) mental health programs and related law enforcement and corrections programs.

This JAG award will be used to support criminal justice initiatives that fall under one or more of the allowable program areas above. Funded programs or initiatives may include multijurisdictional drug and gang task forces, crime prevention and domestic violence programs, courts, corrections, treatment, justice information sharing initiatives, or other programs aimed at reducing crime and/or enhancing public/officer safety.
 
NCA/NCF","JAG recipients will cooperate with any assessments, national evaluation efforts, or information or data collection requests, including, but not limited to, the provision of any information required for the assessment or evaluation of any activities within this project.",,"Award recipients must submit quarterly Federal Financial Reports (SF-425) and semi-annual performance reports through GMS (https://grants.ojp.usdoj.gov). To assist in fulfilling the Departments responsibilities under the Government Performance and Results Act (GPRA), P.L. 103-62, applicants who receive funding under this solicitation must provide data that measure the results of their work. Therefore, quarterly performance metrics reports must be submitted through BJAs Performance Measure Tool (PMT) website (www.bjaperformancetools.org).",2019 Equipment Replacement/Enhancement Program,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG), administered by BJA and authorized under Public Law 109-162 (see page 136), is the leading source of federal justice funding to state and local jurisdictions. The JAG Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation)."
AL0430100,Auburn Police Department,AL,City of Auburn,2016-DJ-BX-0388,Auburn,Lee,AL,Edward Byrne Memorial Justice Assistance Grant (JAG) Program - Local Solicitation,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG) allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation). 
The disparate jurisdictions will utilize this 2016 JAG award to support law enforcement initiatives. Funds will be used to purchase Body Worn Cameras, Tasers and a data storage infrastructure to store collected video data. The project goal is to enhance essential law enforcement services. NCA/NCF","JAG recipients will cooperate with any assessments, national evaluation efforts, or information or data collection requests, including, but not limited to, the provision of any information required for the assessment or evaluation of any activities within this project.",Coordinating the grant funds with other units of local government and with state justice planning efforts is strongly encouraged.,"Award recipients must submit quarterly Federal Financial Reports (SF-425) and semi-annual performance reports through GMS (https://grants.ojp.usdoj.gov). To assist in fulfilling the Department's responsibilities under the Government Performance and Results Act (GPRA), P.L. 103-62, applicants who receive funding under this solicitation must provide data that measure the results of their work. Therefore, quarterly performance metrics reports must be submitted through BJA's Performance Measure Tool (PMT) website (www.bjaperformancetools.org).",2016 Equipment Replacement/Enhancement Program,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG), administered by BJA and authorized under Public Law 109-162 (see page 136), is the leading source of federal justice funding to state and local jurisdictions. The JAG Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation)."
AL0430100,Auburn Police Department,AL,"AUBURN, CITY OF",2018-DJ-BX-0638,AUBURN,,AL,BJA FY 18 Edward Byrne Memorial Justice Assistance Grant (JAG) Program - Local Solicitation,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG) allows states and units of local government, including tribes, to support a broad range of criminal justice related activities based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following purpose areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; 7) crime victim and witness programs (other than compensation); and 8) mental health programs and related law enforcement and corrections programs, including behavioral programs and crisis intervention teams.
 
This Local JAG award will be used to support criminal justice initiatives that fall under one or more of the allowable program areas above. Any equipment purchases or funded initiatives such as overtime, task forces, drug programs or information sharing, will be aimed at reducing crime and enhancing public and officer safety.
 
NCA/NCF","JAG recipients will cooperate with any assessments, national evaluation efforts, or information or data collection requests, including, but not limited to, the provision of any information required for the assessment or evaluation of any activities within this project.",,"Award recipients must submit quarterly Federal Financial Reports (SF-425) and semi-annual performance reports through GMS (https://grants.ojp.usdoj.gov). To assist in fulfilling the Departments responsibilities under the Government Performance and Results Act (GPRA), P.L. 103-62, applicants who receive funding under this solicitation must provide data that measure the results of their work. Therefore, quarterly performance metrics reports must be submitted through BJAs Performance Measure Tool (PMT) website (www.bjaperformancetools.org).",2018 Body Worn Camera (BWC) Purchase Program,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG), administered by BJA and authorized under Public Law 109-162 (see page 136), is the leading source of federal justice funding to state and local jurisdictions. The JAG Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation)."
AL0010200,Birmingham Police Department,AL,CITY OF BIRMINGHAM,15PBJA-21-GG-01123-JAGX,BIRMINGHAM,AL,AL,BJA FY 21 Edward Byrne Memorial Justice Assistance Grant (JAG) Program - Local Solicitation,"The Edward Byrne Memorial Justice Assistance Grant (JAG) Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation) and 8) mental health programs and related law enforcement and corrections programs, including behavioral programs and crisis intervention teams.

 

This JAG award will be used to support criminal justice initiatives that fall under one or more of the allowable program areas above. Funded programs or initiatives may include multijurisdictional drug and gang task forces, crime prevention and domestic violence programs, courts, corrections, treatment, justice information sharing initiatives, or other programs aimed at reducing crime and/or enhancing public/officer safety.",,,"Goals 

In general, the FY 2021 JAG Program is designed to provide units of local government with additional personnel, equipment, supplies, contractual support, training, technical assistance, and information systems for criminal justice. Although the JAG Program provides assistance directly to states, through pass-through (and similar) requirements, the JAG Program also is designed to assist units of local government with respect to their criminal justice needs. 

Objectives

The objectives are directly related to the JAG Program accountability measures described at https://bja.ojp.gov/sites/g/files/xyckuh186/files/media/document/jag-pmt-accountability-measures.pdf and demonstrate the results of the work completed, as discussed under What an Application Should Include.

The goals and objectives are directly related to the performance measures that demonstrate the results of the work completed, as discussed under the Application and Submission Information section.

Deliverables

A unit of local government that receives an FY 2021 JAG award will be required to produce various types of reports, including quarterly financial reports, quarterly performance reports, and semiannual progress reports in JustGrants.",BJA FY2021 Edward Byrne Memorial Justice Assistance Grant Program - Local Solicitation,"The Edward Byrne Memorial Justice Assistance Grant (JAG) Program is the primary provider of federal criminal justice funding to states and units of local government and is authorized by Title I of the Omnibus Crime Control and Safe Streets Act of 1968 (Public Law No. 90-351) (generally codified at 34 U.S.C. 10151-10726), including subpart 1 of part E (codified at 34 U.S.C. 10151 - 10158); see also 28 U.S.C. 530C(a).  The JAG Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs;  7) crime victim and witness programs (other than compensation); and 8) Mental health programs and related law enforcement and corrections programs, including behavioral programs and crisis intervention teams."
AL0430100,Auburn Police Department,AL,"AUBURN, CITY OF",2020-DJ-BX-0164,AUBURN,,AL,BJA FY 20 Edward Byrne Memorial Justice Assistance Grant (JAG) Program - Local Solicitation,"The Edward Byrne Memorial Justice Assistance Grant (JAG) Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation) and 8) mental health programs and related law enforcement and corrections programs.

This JAG award will be used to support criminal justice initiatives that fall under one or more of the allowable program areas above. Funded programs or initiatives may include multijurisdictional drug and gang task forces, crime prevention and domestic violence programs, courts, corrections, treatment, justice information sharing initiatives, or other programs aimed at reducing crime and/or enhancing public/officer safety.
 
NCA/NCF","JAG recipients will cooperate with any assessments, national evaluation efforts, or information or data collection requests, including, but not limited to, the provision of any information required for the assessment or evaluation of any activities within this project.",,"Award recipients must submit quarterly Federal Financial Reports (SF-425) and an annual performance report through GMS (https://grants.ojp.usdoj.gov). To assist in fulfilling the Departments responsibilities under the Government Performance and Results Act (GPRA), P.L. 103-62, applicants who receive funding under this solicitation must provide data that measure the results of their work. Therefore, quarterly performance metrics reports must be submitted through BJAs Performance Measurement Tool (PMT) website (https://bjapmt.ojp.gov/).",2020 JAG Replacement and Enhancement Project,"The Edward Byrne Memorial Justice Assistance Grant (JAG) Program is the primary provider of federal criminal justice funding to states and units of local government and is authorized by Title I of the Omnibus Crime Control and Safe Streets Act of 1968 (Public Law No. 90-351) (generally codified at 34 U.S.C. 10151-10726), including subpart 1 of part E (codified at 34 U.S.C. 10151 - 10158); see also 28 U.S.C. 530C(a).  The JAG Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs;  7) crime victim and witness programs (other than compensation); and 8) Mental health programs and related law enforcement and corrections programs, including behavioral programs and crisis intervention teams."
AL0050000,Baldwin County Sheriff's Office,AL,Baldwin County,2016-DJ-BX-0864,Bay Minette,Baldwin,AL,Edward Byrne Memorial Justice Assistance Grant (JAG) Program - Local Solicitation,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG) allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation).
The County of Baldwin will use this JAG award to support their technology initiatives by purchasing equipment. The goal of this project is to update the departments technology equipment. NCA/NCF","JAG recipients will cooperate with any assessments, national evaluation efforts, or information or data collection requests, including, but not limited to, the provision of any information required for the assessment or evaluation of any activities within this project.",Coordinating the grant funds with other units of local government and with state justice planning efforts is strongly encouraged.,"Award recipients must submit quarterly Federal Financial Reports (SF-425) and semi-annual performance reports through GMS (https://grants.ojp.usdoj.gov). To assist in fulfilling the Department's responsibilities under the Government Performance and Results Act (GPRA), P.L. 103-62, applicants who receive funding under this solicitation must provide data that measure the results of their work. Therefore, quarterly performance metrics reports must be submitted through BJA's Performance Measure Tool (PMT) website (www.bjaperformancetools.org).",Baldwin County District Attorneys Office Technology Upgrade,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG), administered by BJA and authorized under Public Law 109-162 (see page 136), is the leading source of federal justice funding to state and local jurisdictions. The JAG Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation)."
AL0050000,Baldwin County Sheriff's Office,AL,"BALDWIN, COUNTY OF",2019-DJ-BX-0790,BAY MINETTE,,AL,BJA FY 19 Edward Byrne Memorial Justice Assistance Grant (JAG) Program - Local Solicitation,"The Edward Byrne Memorial Justice Assistance Grant (JAG) Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation) and 8) mental health programs and related law enforcement and corrections programs.

This JAG award will be used to support criminal justice initiatives that fall under one or more of the allowable program areas above. Funded programs or initiatives may include multijurisdictional drug and gang task forces, crime prevention and domestic violence programs, courts, corrections, treatment, justice information sharing initiatives, or other programs aimed at reducing crime and/or enhancing public/officer safety.
 
NCA/NCF","JAG recipients will cooperate with any assessments, national evaluation efforts, or information or data collection requests, including, but not limited to, the provision of any information required for the assessment or evaluation of any activities within this project.",,"Award recipients must submit quarterly Federal Financial Reports (SF-425) and semi-annual performance reports through GMS (https://grants.ojp.usdoj.gov). To assist in fulfilling the Departments responsibilities under the Government Performance and Results Act (GPRA), P.L. 103-62, applicants who receive funding under this solicitation must provide data that measure the results of their work. Therefore, quarterly performance metrics reports must be submitted through BJAs Performance Measure Tool (PMT) website (www.bjaperformancetools.org).",Baldwin County FY19 JAG Project,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG), administered by BJA and authorized under Public Law 109-162 (see page 136), is the leading source of federal justice funding to state and local jurisdictions. The JAG Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation)."
AL0110100,Anniston Police Department,AL,"ANNISTON, CITY OF",2018-DJ-BX-0732,ANNISTON,,AL,BJA FY 18 Edward Byrne Memorial Justice Assistance Grant (JAG) Program - Local Solicitation,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG) allows states and units of local government, including tribes, to support a broad range of criminal justice related activities based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following purpose areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; 7) crime victim and witness programs (other than compensation); and 8) mental health programs and related law enforcement and corrections programs, including behavioral programs and crisis intervention teams.
 
This Local JAG award will be shared by the County and one or more jurisdictions identified as disparate within the current Fiscal Year eligibility list (www.bja.gov/Jag). JAG funding will be used to support criminal justice initiatives that fall under one or more of the allowable program areas above. Any equipment purchases or funded initiatives such as overtime, task forces, drug programs, information sharing, etc. will be aimed at reducing crime and/or enhancing public/officer safety. 
 
NCA/NCF","JAG recipients will cooperate with any assessments, national evaluation efforts, or information or data collection requests, including, but not limited to, the provision of any information required for the assessment or evaluation of any activities within this project.",,"Award recipients must submit quarterly Federal Financial Reports (SF-425) and semi-annual performance reports through GMS (https://grants.ojp.usdoj.gov). To assist in fulfilling the Departments responsibilities under the Government Performance and Results Act (GPRA), P.L. 103-62, applicants who receive funding under this solicitation must provide data that measure the results of their work. Therefore, quarterly performance metrics reports must be submitted through BJAs Performance Measure Tool (PMT) website (www.bjaperformancetools.org).",Information Gathering Initiative,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG), administered by BJA and authorized under Public Law 109-162 (see page 136), is the leading source of federal justice funding to state and local jurisdictions. The JAG Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation)."
AL0010200,Birmingham Police Department,AL,CITY OF BIRMINGHAM,2018-DJ-BX-0047,BIRMINGHAM,,AL,BJA FY 18 Edward Byrne Memorial Justice Assistance Grant (JAG) Program - Local Solicitation,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG) allows states and units of local government, including tribes, to support a broad range of criminal justice related activities based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following purpose areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; 7) crime victim and witness programs (other than compensation); and 8) mental health programs and related law enforcement and corrections programs, including behavioral programs and crisis intervention teams.

This Local JAG award will be shared by the County and one or more jurisdictions identified as disparate within the current Fiscal Year eligibility list (www.bja.gov/Jag). JAG funding will be used to support criminal justice initiatives that fall under one or more of the allowable program areas above. Any equipment purchases or funded initiatives such as overtime, task forces, drug programs, information sharing, etc. will be aimed at reducing crime and/or enhancing public/officer safety. 
 
NCA/NCF","JAG recipients will cooperate with any assessments, national evaluation efforts, or information or data collection requests, including, but not limited to, the provision of any information required for the assessment or evaluation of any activities within this project.",,"Award recipients must submit quarterly Federal Financial Reports (SF-425) and semi-annual performance reports through GMS (https://grants.ojp.usdoj.gov). To assist in fulfilling the Departments responsibilities under the Government Performance and Results Act (GPRA), P.L. 103-62, applicants who receive funding under this solicitation must provide data that measure the results of their work. Therefore, quarterly performance metrics reports must be submitted through BJAs Performance Measure Tool (PMT) website (www.bjaperformancetools.org).",Law Enforcement Technology Improvement Program,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG), administered by BJA and authorized under Public Law 109-162 (see page 136), is the leading source of federal justice funding to state and local jurisdictions. The JAG Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation)."
AL0010200,Birmingham Police Department,AL,CITY OF BIRMINGHAM,2019-DJ-BX-0551,BIRMINGHAM,,AL,BJA FY 19 Edward Byrne Memorial Justice Assistance Grant (JAG) Program - Local Solicitation,"The Edward Byrne Memorial Justice Assistance Grant (JAG) Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation) and 8) mental health programs and related law enforcement and corrections programs.

This JAG award will be used to support criminal justice initiatives that fall under one or more of the allowable program areas above. Funded programs or initiatives may include multijurisdictional drug and gang task forces, crime prevention and domestic violence programs, courts, corrections, treatment, justice information sharing initiatives, or other programs aimed at reducing crime and/or enhancing public/officer safety.
 
NCA/NCF","JAG recipients will cooperate with any assessments, national evaluation efforts, or information or data collection requests, including, but not limited to, the provision of any information required for the assessment or evaluation of any activities within this project.",,"Award recipients must submit quarterly Federal Financial Reports (SF-425) and semi-annual performance reports through GMS (https://grants.ojp.usdoj.gov). To assist in fulfilling the Departments responsibilities under the Government Performance and Results Act (GPRA), P.L. 103-62, applicants who receive funding under this solicitation must provide data that measure the results of their work. Therefore, quarterly performance metrics reports must be submitted through BJAs Performance Measure Tool (PMT) website (www.bjaperformancetools.org).",Birmingham Technology Improvement Program,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG), administered by BJA and authorized under Public Law 109-162 (see page 136), is the leading source of federal justice funding to state and local jurisdictions. The JAG Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation)."
