ori,ff_shootings_total,shr_homicides_total,shr_police_total
NY0303000,52,2053,47
ILCPD0000,45,3773,6
CA0190000,86,517,38
CA0194200,104,1755,73
PAPEP0000,25,2169,21
TXHPD0000,53,2292,27
NV0020100,55,1016,47
DCMPD0000,16,1075,21
TXDPD0000,16,1363,21
FL0130000,36,0,0
AZ0072300,89,956,87
MI8234900,18,2035,19
CA0370000,15,128,4
TXSPD0000,50,955,41
MDBPD0000,20,1816,15
TX1010000,27,750,31
NY0290000,4,69,0
MA0130100,10,319,0
CA0380100,16,301,6
INIPD0000,20,1165,14
TNMPD0000,12,1627,6
HI0020000,22,158,13
CA0360000,34,143,13
OHCOP0000,35,868,9
CA0371100,27,341,21
CA0300000,9,7,1
MD0030100,21,243,15
NC0600100,18,628,15
CA0330000,44,147,13
FL0500000,8,0,0
WIMPD0000,14,1078,18
GAAPD0000,16,713,4
TX2201200,18,539,8
FL0480000,13,0,0
TX2270100,29,297,6
FL0060000,11,0,0
OHCLP0000,8,731,0
MD0172100,10,433,10
TN0190100,14,656,9
CODPD0000,37,492,25
VA0290100,2,118,3
MOKPD0000,27,966,17
FL0130600,5,0,0
CA0340000,15,229,8
FL0290000,12,0,0
MD0160400,10,145,9
TX2200000,1,19,0
CA0430000,1,15,0
WASPD0000,16,220,13
CA0431300,21,224,19
LANPD0000,8,938,7
TX0710200,15,154,8
MOSPD0000,23,1272,23
OK0550600,37,548,21
KY0568000,23,842,4
CA0010000,4,39,0
NJNPD0000,8,517,8
OHCIP0000,6,477,0
NM0010100,30,544,14
FL0290200,10,0,0
MO0950000,14,250,4
PAPPD0000,7,227,5
NB0280200,10,178,3
MI6316300,1,5,2
LA0260000,13,252,7
AZ0071700,25,169,23
FL0480400,14,0,0
AZ0100300,29,266,18
FL0520000,9,0,0
OK0720500,26,471,25
OR0260200,18,255,12
CA0194100,21,205,14
CA0100500,18,289,12
CO0210100,21,212,16
AL0010200,9,89,1
VA1280000,7,125,6
CA0150000,13,258,17
NY0140100,3,349,3
CA0340400,13,260,11
GA0670200,8,117,5
LA0170000,8,98,0
GA0440200,12,663,5
FL0360000,5,0,0
CO0010100,15,222,9
CA0010900,9,492,12
TN0790000,10,38,0
TX2200100,13,150,7
FL0530000,19,0,0
NC0410200,5,269,1
NY0270100,6,194,1
VA0430100,1,112,0
KS0870300,13,246,4
NC0920100,5,58,0
MN0271100,9,378,2
GA0330200,15,128,5
OH0250000,6,11,0
VA0750300,2,84,2
GA0600000,1,1,0
CA0070000,4,43,0
VA1220000,5,429,0
AZ0070000,9,78,4
MN0620900,9,178,9
MI8218200,1,0,0
CA0560000,3,15,1
NY0590700,1,45,0
FL0510000,6,0,0
FL0410000,6,0,0
LA0100000,2,37,0
AL0010000,2,12,0
OH0480700,7,279,6
TX0150000,12,97,0
LA0170200,7,573,8
FL0110000,3,0,0
VA0530000,1,19,0
FL0420000,7,0,0
VA1170000,8,286,3
NJ0160000,1,0,0
FL0521400,4,0,0
VA0210100,2,66,1
FL0050000,9,0,0
LA0090100,11,292,10
AR0600200,6,315,4
SC0400000,2,180,0
CA0500000,6,68,1
CA0540000,7,87,2
TX2400100,6,63,0
AZ0100000,11,106,8
FL0060300,4,0,0
CO0210000,7,53,0
TX1700000,6,87,4
